id,app_name,platform,review_text,category
1,Vezeeta,Google Play,"I forgot my password, and changed my phone number and the application doesn't allow you to reset your password through your email. The customer technical service suggested that I create a new email instead of fixing the issue!",Bad UX
2,Vezeeta,Google Play,Useless app. I contacted the customer services about a problem and I got an automatic reply that they will answer me within 24 hrs and they never did.,Bad Support / Trust Issue
3,Vezeeta,Google Play,"The idea of the app is good but whenever I use it, any product I order either was delivered to me with a completely wrong product or it never came at all.",Missing Feature / Trust Issue
4,Vezeeta,Google Play,Worst app ever. I booked multiple appointments using this app but every single one turned out to be fake. The doctors never showed up and there was no prior notice or explanation. This app is completely unreliable and caused me a lot of inconvenience.,Trust Issue
5,Vezeeta,Google Play,"I used to depend on this app for everything but recently the app basically doesn't even work. The filters are not working. I look for doctors that use Egycare to book and once I booked, they say that they don't use it every single time.",Bad UX / Trust Issue
6,Vezeeta,App Store,"Honestly, as much as the app has a lot of helpful features there are so many cumbersome aspects and it is not user friendly. The most disappointing thing is that the history of my recent clinic visits is not there — this feature doesn't work on the app for quite some time.",Bad UX / Missing Feature
7,Vezeeta,App Store,Guys you are great with doctors and clinics but the pharmacy experience is just terrible. I tried placing 5 orders in the past year and received just one. Customer service for pharmacy is just impossible — I never get any answer. Once I got a call 13 hours after I placed an order and never received it. Pharmacy experience makes me hate the app.,Bad Support / Missing Feature
8,Vezeeta,App Store,Very poor service on all fronts. My experience started with incorrect information about the doctor schedule. After arriving to the clinic 45 minutes early as the first person I found out the clinic follows a different protocol via their own call center and my reservation was considered a walk-in. Vezeeta customer service did nothing about it.,Trust Issue / Bad UX
9,Vezeeta,App Store,The whole point of Vezeeta is to find good doctors around you and order medicine online. It can do neither of these things in Egypt. Do not waste your time. Five appointments in a row with top-rated doctors in different specialties were just a complete waste of time. Ratings don't mean anything and the doctors' profiles are usually incomplete.,Trust Issue
10,Vezeeta,App Store,The app is actually just an ad space for doctors rather than a doctor-matching service. The user interface is not customer-oriented. It is difficult to find what you want and the search filters are very ineffective.,Bad UX / Trust Issue
11,Vezeeta For Doctors,Google Play,Quite discouraging — 99% of patients that book don't turn up. There is a need for the developer to add an access fee no matter how small to discourage those who have no business booking from toying with the app.,Trust Issue / Missing Feature
12,Vezeeta For Doctors,Google Play,Bad application. Doesn't open quickly. I tried to open many times but failed then reinstalled the application in order to open with no response. I couldn't put my appointments. In addition there are fake reservations by names and numbers especially in the recent period.,Bad UX / Trust Issue
13,Practo,Google Play,"Very disappointing experience with Practo. I booked and attended a consultation, yet the app marked me as a no-show and blocked me from booking further appointments. There is zero transparency — no information about which appointment was marked as no-show or who marked it. Customer support is practically non-existent. Instead of fixing the system, the platform simply penalizes customers.",Trust Issue / Bad Support
14,Practo,Google Play,"Very bad UX. If they have discontinued their on-call customer care service then it should be updated everywhere. Pricing on the portal, FAQ documents, and even in the invoice is old while you are actually charged a higher price. It's shady and not trustworthy.",Bad UX / Trust Issue / Pricing
15,Practo,Google Play,"After booking an appointment and receiving a confirmation from Practo, doctors are either not available at the specified clinic or not available during the specified time slot. This happened twice. The app doesn't include an option to report such issues.",Trust Issue / Missing Feature
16,Practo Pro (Doctors),Google Play,Very very poor Service!! Extremely poor customer care support!! Customer care numbers are not working. Your complaints remain unresolved!! Can't change the consultants saying the profile has been claimed. The app doesn't allow the change of numbers through an OTP source! Even food delivery apps are more user friendly and easy to handle!!,Bad Support / Bad UX
17,Zocdoc,Google Play,"It has an unreliable system to check if you're covered by the provider selected, and many times I've tried to book with someone they have cancelled and stated that they were not accepting clients.",Trust Issue / Missing Feature
18,Zocdoc,App Store,They advertise that a doctor is in network even if they aren't. Do not trust them. They will put in a 5 star review even if your review is actually 1 star.,Trust Issue
19,Zocdoc,App Store,"I've had four appointments cancelled because they either don't treat children (when I specified in filters) or because they aren't accepting new patients (when their page said accepting new patients) and wasted literally three weeks. They give you no way to contact the providers directly. All in all, Google is easier.",Trust Issue / Bad UX
20,Zocdoc,App Store,"Used Zocdoc to book a doctor that advertised himself as in-network. Went to the doctor, paid my copay and left. Months later I got bills in the mail for $200, $300, $400. They were advertised as in-network when they weren't. When I contacted this app I bugged them for months — they did nothing.",Trust Issue / Pricing
21,Zocdoc,App Store,"For all its glitz and polish, this app pushes a last-minute in-and-out approach to doctors that results in inferior care with professionals who are not significantly vetted or held accountable. Drs can cancel with almost no notice.",Trust Issue
22,Zocdoc,App Store,The vast majority of patients never show up. Zocdoc charges $115 for every fake patient. Not sure if these fake patients are Zocdoc employees making fake appointments so that the company cashes out. The large number of negative reviews tells the story.,Trust Issue / Pricing
23,Zocdoc,App Store,"This site has one choosing a specialist but including a wide range of physicians who are outside of the specialty range. e.g., a pediatrician is listed when seeking an orthopedic surgeon.",Bad UX / Missing Feature
24,Doctor On Demand,Trustpilot,"I used Doctors on Demand on November 13, 2025. The nurse was over five minutes late. Despite the platform accepting my insurance I was required to pay the full $129 fee upfront. After insurance processing my actual copay was only $10 but as of February 2026 I still had not received the reimbursement. It ultimately took filing a chargeback with my bank to get money returned.",Pricing / Bad Support
25,Doctor On Demand,Trustpilot,"I've been fighting with them for nearly a year after they started charging me and said they couldn't verify my insurance. I provided them letters from Tricare and even had a Tricare representative on a 3-way call telling them I was covered, and they're still trying to get money from me. My therapist was fantastic but they made it impossible to continue.",Pricing / Trust Issue / Bad Support
26,Doctor On Demand,Trustpilot,My appointment cost $84 upfront as they don't take my insurance. They refused to give me what I needed — a work note proving that I have a work injury — and were quite rude about it. The provider insisted I need to get this from my PCP and snootily said 'then you need to get one!' I make very little money.,Pricing / Trust Issue
27,MDLIVE,Trustpilot,MDLIVE provided a 14-day treatment plan for me but prescribed only two days' worth of medication. Their customer service representatives told me I would have to continuously schedule appointments.,Missing Feature / Pricing
28,MDLIVE,Trustpilot,I have tried this company twice. Once for a cough — after charging me they said they could not treat me and that I needed to go see a doctor. Again just needing two prescriptions for non-controlled substances and they refused. Absolute waste of money.,Pricing / Missing Feature
29,MDLIVE,Trustpilot,"Awful — used this quickly as my provider is out of town. The provider they set me up with was incredibly rude, said she wouldn't treat my cold over the phone, and would not let me get a word in edgewise.",Trust Issue / Bad Support
30,MDLIVE,Trustpilot,MDLive will charge despite having insurance coverage for 100% of virtual medical visit. And they will do so repeatedly despite having full Cigna coverage info.,Pricing / Trust Issue
31,MDLIVE,Google Play,No complaints about the care but the platform is terrible. I had to turn dark mode off for my whole phone. No setting I could find for it in the app. Appointments section was completely unreadable when dark mode was on.,Bad UX
32,MDLIVE,Trustpilot,MD Live is INEPT! When you finally reach customer service they can't help to remove me from their email list that sends messages twice each week. MD Live does not work with United Healthcare my new insurance.,Bad Support / Missing Feature
33,MyFitnessPal,App Store,I've been unable to log into MyFitnessPal for quite a while. I tried requesting a password reset over 20 times and still have yet to receive any email. I submit a ticket and get a generic mass-response email. I have no idea what to do. I'm going to request a refund for premium services since I can't access the app.,Bad UX / Bad Support
34,MyFitnessPal,App Store,Whenever I enter my weight I keep getting a message asking if I'd like to change my goal weight. I click 'No Thanks' but the next day I get the same annoying message. You have to answer it otherwise you cannot proceed. I am a paying premium member (not for long).,Bad UX
35,MyFitnessPal,App Store,MyFitnessPal is a good utility but clumsy and glitchy in places which makes using it throughout the day kind of a pain. The calorie adjustment for my step tracker keeps defaulting back to the opposite setting even after I've corrected it at least 4 times in 6 months.,Bad UX
36,Practice Better,Google Play,"Photo function rarely works. It will take the picture but often then freezes and bumps you out back to the homepage causing you to lose any info you had entered into your food journal. Have force stopped, cleared cache, cleared data, uninstalled/reinstalled, restarted phone — all to no avail.",Bad UX / Crash / Bug
37,Practice Better,Google Play,"App won't let me add pictures to food journal. Didn't work the first week, worked for a few days, then stopped working again for the next two weeks. Logging food is slow. Sometimes it doesn't save what I wrote and I have to make the same log multiple times. Also doesn't recognize a lot of food when I search it.",Bad UX / Bug / Missing Feature
38,Vezeeta,App Store,Sorry I cannot find Sohag governorate in the search. The application is nice but it does not cover areas outside major cities. A lot of users in Upper Egypt are excluded.,Missing Feature / Accessibility
39,Zocdoc,Trustpilot,"Zocdoc is poorly made. How do you advertise yourself as an app to find doctors that take your insurance without having to call every single one of them, but have a lack of doctors within people's location? And some of these doctors aren't even professionals you would go to for certain appointments.",Bad UX / Missing Feature
40,MDLIVE,Trustpilot,Please don't use MDLIVE — they say they treat sinus issues yet they won't treat anything. My provider kept saying he couldn't prescribe an antibiotic per CDC guidelines. Then why the heck does it say you treat sinus infections? A huge waste of time and money.,Missing Feature / Trust Issue
41,Practo,Google Play,App keeps crashing on the booking confirmation screen. Lost my selected appointment slot three times in a row. Very frustrating experience especially when trying to book urgent care.,Bad UX / Bug / Crash
42,Vezeeta,Google Play,Insurance card integration is totally broken. I tried to add my Egycare card in the app but got an error every time. I even went all the way to the doctor's office and they couldn't add it either. The system is completely unreliable for insured patients.,Bad UX / Trust Issue
43,Doctor On Demand,Google Play,Was charged $129 for a visit that should have been fully covered by insurance. The provider didn't even review my file before the call. Felt like a rushed 5-minute consultation just to generate a bill. No follow-up from support.,Pricing / Trust Issue
44,Zocdoc,App Store,"Providers listed as in-network are often not. I've been burned twice — showed up to appointments expecting to pay my normal copay but got billed out-of-network rates weeks later. The app needs real-time insurance verification, not self-reported profiles.",Trust Issue / Missing Feature
45,Practo,Google Play,Chat support is nearly impossible to find in the app. The navigation is deeply confusing — important functions are buried several screens deep. Even basic things like viewing past prescriptions require too many steps. The UX clearly hasn't been updated in years.,Bad UX / Missing Feature
46,MDLIVE,App Store,Scheduled an appointment to request a medication adjustment for a commonly prescribed medication causing side effects. The doctor looked up the medication on the fly and had clearly never heard of it before. A huge waste of time and completely unprofessional.,Trust Issue
47,Vezeeta For Doctors,Google Play,This app doesn't even let me manage multiple clinic schedules properly. Each clinic has different working hours but the system keeps merging them. Patient notifications also fail to send half the time. This is a core feature that should work flawlessly.,Missing Feature / Bug
48,MyFitnessPal,Google Play,They locked key features behind a paywall — things that used to be free like macro tracking and calorie goals are now premium only. The premium price is $80/year which is absurd for a food diary app. Downgraded to 1 star after years of being a loyal user.,Pricing
49,Doctor On Demand,Trustpilot,I've been with Doctor on Demand for two years. After my primary therapist left the platform they gave me no transition support. The new therapist assignment was random with no consideration of my history or treatment needs. Felt completely abandoned.,Trust Issue / Missing Feature
50,Zocdoc,App Store,"Drs can cancel with almost no notice. I had a dermatologist reschedule 15 minutes before our appointment. No compensation, no apology from the app itself — just an automated email. When I tried to rebook there were no available slots for 3 weeks. Terrible experience.",Trust Issue / Bad Support
